name,source,discovery_query,repo_url,kept,decision,status,score,license,description,tech_stack,build_method,install_method,harmony_pc_evidence,open_source_evidence,risk,last_checked
hexody/TrendRadar2,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/hexody/TrendRadar2,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/hexody/TrendRadar2; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
nqkhanh92/trendradar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/nqkhanh92/trendradar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/nqkhanh92/trendradar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
ConcealGeek/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/ConcealGeek/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/ConcealGeek/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
zwy991114/mynews,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/zwy991114/mynews,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,Python,,,,公开源码仓库: https://github.com/zwy991114/mynews; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
zhangmingxiang01/trenderRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/zhangmingxiang01/trenderRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,news push,HTML,,,,公开源码仓库: https://github.com/zhangmingxiang01/trenderRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
awoele/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/awoele/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,Free public TrendRadar reports via GitHub Pages,Python,,,,公开源码仓库: https://github.com/awoele/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Memory455/TrendRadar3Daily,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/Memory455/TrendRadar3Daily,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Memory455/TrendRadar3Daily; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
J1ezds/some-star,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/J1ezds/some-star,False,filtered: score below 40,buildable,35,Unlicense,github star 分类汇总,"Qt, Electron, C++, Rust, Go, Python","qmake, cmake",源码编译,"发现鸿蒙相关构建/工程线索: qmake, cmake",公开源码仓库: https://github.com/J1ezds/some-star; LICENSE: Unlicense; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
Ualker/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/Ualker/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/Ualker/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
yw-sj/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/yw-sj/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/yw-sj/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
cesszlr/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/cesszlr/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/cesszlr/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
robot-guo/AInews,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/robot-guo/AInews,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/robot-guo/AInews; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
huaieli/TrendRadar,GitHub repo search,鸿蒙 PC 开源软件,https://github.com/huaieli/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/huaieli/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
