source,query,url,review_note
GitCode,鸿蒙 PC 开源软件,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+%E5%BC%80%E6%BA%90%E8%BD%AF%E4%BB%B6,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC 开源软件,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+%E5%BC%80%E6%BA%90%E8%BD%AF%E4%BB%B6,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC 开源软件,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+%E5%BC%80%E6%BA%90%E8%BD%AF%E4%BB%B6,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC 应用 开源,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+%E5%BA%94%E7%94%A8+%E5%BC%80%E6%BA%90,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC 应用 开源,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+%E5%BA%94%E7%94%A8+%E5%BC%80%E6%BA%90,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC 应用 开源,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+%E5%BA%94%E7%94%A8+%E5%BC%80%E6%BA%90,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC HAP,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+HAP,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC HAP,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+HAP,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC HAP,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+HAP,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC DevEco,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+DevEco,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC DevEco,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+DevEco,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC DevEco,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+DevEco,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC ArkTS,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+ArkTS,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC ArkTS,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+ArkTS,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC ArkTS,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+ArkTS,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC Qt,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+Qt,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC Qt,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+Qt,视频只能作为运行证据；必须反查源码仓库。
AppGallery,鸿蒙 PC Qt,https://appgallery.huawei.com/search/%E9%B8%BF%E8%92%99+PC+Qt,应用市场可安装不等于开源；必须反查公开源码。
GitCode,鸿蒙 PC Electron,https://gitcode.com/search?keyword=%E9%B8%BF%E8%92%99+PC+Electron,人工确认源码、LICENSE、README、鸿蒙 PC 证据后再合并。
Bilibili,鸿蒙 PC Electron,https://search.bilibili.com/all?keyword=%E9%B8%BF%E8%92%99+PC+Electron,视频只能作为运行证据；必须反查源码仓库。
