source,query,name,repo_url,market_url,demo_url,article_url,source_url,license,description,harmony_pc_evidence,open_source_evidence,risk,decision
GitCode,鸿蒙 PC 开源软件,harmony_timeflow / htf_hardware,https://gitcode.com/Harmony_timeflow/hardware_sig,,,,https://gitcode.com/Harmony_timeflow/hardware_sig,MIT,htf_hardware：随着harmony_timeflow对OpenHarmony和Linux操作系统的生态支持，自研硬件对软件的兼容性也越来越重要。htf_hardware开源仓库内主要会有使用 EDA 制作的原理图与 PCB 绘制文件，设计说明、用户手册、实验指导等丰富的开源硬件内容，方便各位学习与进行测试。,,GitCode 仓库可访问: https://gitcode.com/Harmony_timeflow/hardware_sig; GitCode License: MIT; 公开源码仓库: https://gitcode.com/Harmony_timeflow/hardware_sig; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/Harmony_timeflow/hardware_sig,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 开源软件,深圳开源共创 / 开源鸿蒙跨平台及PC开发参考手册,https://gitcode.com/szkygc/harmony_learning_crossplatform_pc,,,,https://gitcode.com/szkygc/harmony_learning_crossplatform_pc,,开源鸿蒙跨平台及PC开发参考手册,,GitCode 仓库可访问: https://gitcode.com/szkygc/harmony_learning_crossplatform_pc; 公开源码仓库: https://gitcode.com/szkygc/harmony_learning_crossplatform_pc; GitCode 来源页面可访问: https://gitcode.com/szkygc/harmony_learning_crossplatform_pc,License 不明确; 缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 开源软件,hahjee / 鸿蒙生态征文系列活动-开源鸿蒙PC共学营,https://gitcode.com/hahjee/openharmony-pc,,,,https://gitcode.com/hahjee/openharmony-pc,,全网招募围绕开源鸿蒙技术核心方向创作的专业技术文章内容（包含但不限于基于开源鸿蒙的PC开发框架及各类语言开发范式等），优质内容有机会获得专属创作激励，实现 “学习鸿蒙技术 + 赢取丰厚奖励” 双丰收！,文本明确命中鸿蒙 PC 关键词: openharmony-pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/hahjee/openharmony-pc; 公开源码仓库: https://gitcode.com/hahjee/openharmony-pc; GitCode 来源页面可访问: https://gitcode.com/hahjee/openharmony-pc,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC 开源软件,GitHub 加速计划 / ol / o-lib,https://gitcode.com/gh_mirrors/ol,,,,https://gitcode.com/gh_mirrors/ol,GPL-3.0,-sourceO-LIB是一款免费且开源的PC端软件。,,GitCode 仓库可访问: https://gitcode.com/gh_mirrors/ol; GitHub 上游/导入仓库: https://github.com/shiyi-0x7f/o-lib.git; GitCode License: GPL-3.0; 公开源码仓库: https://gitcode.com/gh_mirrors/ol; License 线索: GPL-3.0; GitCode 来源页面可访问: https://gitcode.com/gh_mirrors/ol,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 开源软件,OpenHarmony PC Developer / docs,https://gitcode.com/OpenHarmonyPCDeveloper/docs,,,,https://gitcode.com/OpenHarmonyPCDeveloper/docs,,开源鸿蒙PC开发者社区相关资料汇总,文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/docs; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/docs; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/docs,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC 开源软件,深圳开源共创 / HarmonyOs_PC-PGC,https://gitcode.com/szkygc/HarmonyOs_PC-PGC,,,,https://gitcode.com/szkygc/HarmonyOs_PC-PGC,,本项目集合包含了多个基于 Qt for HarmonyOS 开发的开源项目，涵盖了 UI 组件、动画效果、图形处理、文本编辑等多个领域的开发实践。,文本明确命中鸿蒙 PC 关键词: harmonyos_pc; 发现鸿蒙相关构建/工程线索: Qt for HarmonyOS; 发现 Qt/Electron for HarmonyOS/OpenHarmony 构建说明,GitCode 仓库可访问: https://gitcode.com/szkygc/HarmonyOs_PC-PGC; 公开源码仓库: https://gitcode.com/szkygc/HarmonyOs_PC-PGC; GitCode 来源页面可访问: https://gitcode.com/szkygc/HarmonyOs_PC-PGC,License 不明确,kept
GitCode,鸿蒙 PC 开源软件,OpenHarmony PC Developer / ohos_XHbj,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_XHbj,,,,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_XHbj,,自主开发的鸿蒙pc开源笔记,文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_XHbj; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_XHbj; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_XHbj,License 不明确,kept
GitCode,鸿蒙 PC 开源软件,OpenHarmony PC Developer / awesome-ohpc,https://gitcode.com/OpenHarmonyPCDeveloper/awesome-ohpc,,,,https://gitcode.com/OpenHarmonyPCDeveloper/awesome-ohpc,,开源鸿蒙PC项目和文档合集,文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/awesome-ohpc; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/awesome-ohpc; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/awesome-ohpc,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC 开源软件,URL Time CN 开源中心 / Electronfor鸿蒙PC,https://gitcode.com/url_time/Electron_for_Harmony,,,,https://gitcode.com/url_time/Electron_for_Harmony,Apache-2.0,,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/url_time/Electron_for_Harmony; GitCode License: Apache-2.0; 公开源码仓库: https://gitcode.com/url_time/Electron_for_Harmony; License 线索: Apache-2.0; GitCode 来源页面可访问: https://gitcode.com/url_time/Electron_for_Harmony,构建或运行步骤不完整,kept
GitCode,鸿蒙 PC 开源软件,OpenHarmony PC Developer / FtpNextServer,https://gitcode.com/OpenHarmonyPCDeveloper/FtpNextServer,,,,https://gitcode.com/OpenHarmonyPCDeveloper/FtpNextServer,,FtpServer 是一款轻量级开源 FTP 服务器软件，支持 HarmonyOS 系统，一键部署即可快速共享与管理本地文件。,文本明确命中鸿蒙 PC 关键词: openharmony pc; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/FtpNextServer; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/FtpNextServer; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/FtpNextServer,License 不明确,kept
