name,category,status,score,source,repo_url,market_url,demo_url,article_url,license,description,tech_stack,build_method,install_method,harmony_pc_evidence,open_source_evidence,risk,recommendation,last_checked
Youfysoon/EasyCompressAssistant,开发工具,confirmed,100,GitHub repo search,https://github.com/Youfysoon/EasyCompressAssistant,,,,BSD-3-Clause,A tiny utility used for compressing and decompressing archive powered by Flutter.,"Qt, C++, Flutter, Dart","qmake, cmake",Release,"文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现鸿蒙相关构建/工程线索: qmake, cmake",公开源码仓库: https://github.com/Youfysoon/EasyCompressAssistant; LICENSE: BSD-3-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Youfysoon/EasyCompressAssistant/releases/tag/v1.0.2,,优先验证,2026-06-26
HanversionOvO/OHtrix,终端与运行环境,confirmed,100,GitHub repo search,https://github.com/HanversionOvO/OHtrix,,,,MIT,Aria2 downloader for HarmonyOS PC.,"ArkTS, Electron, C++, HAP, JavaScript","DevEco, hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/HanversionOvO/OHtrix; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/HanversionOvO/OHtrix/releases/tag/v1.0.0,,优先验证,2026-06-26
chao921125/vue-vite,终端与运行环境,confirmed,100,"GitHub repo search, GitHub code search",https://github.com/chao921125/vue-vite,,,https://juejin.cn/post/7037036742985121800,BSD-3-Clause,vue3.5+vite8+vue-router+pinia，动态路由、权限管理、vw适配、PWD ，路由切换PC与移动端，配置简单，各种实用的插件库及对应示例,"Qt, Electron, C++, Flutter, TypeScript","qmake, npm",Release,"文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现鸿蒙相关构建/工程线索: qmake, npm",公开源码仓库: https://github.com/chao921125/vue-vite; LICENSE: BSD-3-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/chao921125/vue-vite/releases/tag/v3.6.2,,优先验证,2026-06-26
fastbiography-hue/litradar-harmonyos,终端与运行环境,confirmed,90,GitHub repo search,https://github.com/fastbiography-hue/litradar-harmonyos,,,,MIT,📚 LitRadar — 生物医学文献追踪系统 | 鸿蒙PC纯原生 | PubMed + Europe PMC 直连 | 零后端 | ArkTS,"ArkTS, HAP, Python","DevEco, hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: harmonyos-pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/fastbiography-hue/litradar-harmonyos; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/fastbiography-hue/litradar-harmonyos/releases/tag/v2.0.0,,优先验证,2026-06-26
Mencaje/Mencaje.translatorHarmony,终端与运行环境,confirmed,90,GitHub repo search,https://github.com/Mencaje/Mencaje.translatorHarmony,,,,Other,,"ArkTS, C++, HAP","DevEco, ArkTS, cmake","HAP, Release","文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, ArkTS, cmake",公开源码仓库: https://github.com/Mencaje/Mencaje.translatorHarmony; LICENSE: Other; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Mencaje/Mencaje.translatorHarmony/releases/tag/1.0.0,,优先验证,2026-06-26
SwimmingTiger/aria2-ohos,终端与运行环境,confirmed,90,GitHub repo search,https://github.com/SwimmingTiger/aria2-ohos,,,,MIT,aria2 command line for OpenHarmony and Harmony Next 5.x,"ArkTS, HAP, Makefile","hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/SwimmingTiger/aria2-ohos; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/SwimmingTiger/aria2-ohos/releases/tag/v1.0.1-hnp,,优先验证,2026-06-26
TennousuAthena/ClipClap,终端与运行环境,confirmed,90,GitHub repo search,https://github.com/TennousuAthena/ClipClap,,,,MIT,,"ArkTS, HAP, Shell","DevEco, hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/TennousuAthena/ClipClap; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/TennousuAthena/ClipClap/releases/tag/0.1.2,,优先验证,2026-06-26
Han-cy830/cc-switch-harmonyos,开发工具,confirmed,90,GitHub repo search,https://github.com/Han-cy830/cc-switch-harmonyos,,,,MIT,"CC Switch for HarmonyOS NEXT PC - Claude Code, Codex & Gemini CLI Manager","ArkTS, C++, HAP, JavaScript","DevEco, hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos next pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/Han-cy830/cc-switch-harmonyos; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Han-cy830/cc-switch-harmonyos/releases/tag/v1.0.0,,优先验证,2026-06-26
liz7up/hm_flow_kit,原生鸿蒙 PC 应用,confirmed,90,GitHub repo search,https://github.com/liz7up/hm_flow_kit,,,,Apache-2.0,,"ArkTS, WebView, Shell","hvigor, ArkTS, Stage Model, npm",Release,"文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现鸿蒙相关构建/工程线索: hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/liz7up/hm_flow_kit; LICENSE: Apache-2.0; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/liz7up/hm_flow_kit/releases/tag/v1.0.0,,优先验证,2026-06-26
xiaobaigroup/ClashBox,原生鸿蒙 PC 应用,confirmed,90,"GitHub repo search, GitHub code search",https://github.com/xiaobaigroup/ClashBox,,,,GPL-3.0,HarmonyOS NEXT的代理软件,"ArkTS, HAP","DevEco, ArkTS","HAP, Release","文本明确命中鸿蒙 PC 关键词: 鸿蒙电脑; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, ArkTS",公开源码仓库: https://github.com/xiaobaigroup/ClashBox; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/xiaobaigroup/ClashBox/releases/tag/1.7.4,,优先验证,2026-06-26
